id,original,emendation,old_type1,old_type2,primary_category,secondary_category,changed_original_tokens,changed_emended_tokens,,needs_manual_review,notes
1,τὴν σοφιστικὴν ἐν τῇ φιλοσοφίᾳ συμμίξαντες ἡγεμόνες καὶ τῆς ἐπιστήμης καὶ τῆς τέχνης πᾶσιν οἰόμεθα. Ἡ μὲν οὖν ὑπόληψις οὕτω λαμπρά ἡ δὲ ἀλήθεια ἐλάττων πολὺ τοῦ ὑποληφθῆναι,τὴν σοφιστικὴν τῇ φιλοσοφίᾳ συμμίξαντες ἡγεμόνες καὶ τῆς ἐπιστήμης καὶ τῆς τέχνης πᾶσιν οἰόμεθα ὑπειλῆφθαι. Ἡ μὲν οὖν ὑπόληψις οὕτω λαμπρά ἡ δὲ ἀλήθεια ἐλάττων πολὺ τοῦ ὑποληφθῆναι,delete,add,Addition / Omission,Addition / Omission,ἐν | οἰόμεθα.,οἰόμεθα | ὑπειλῆφθαι.,,no,
2,Ὀναίμην οὖν σου τοσοῦτον ὁπόσα δὴ καὶ σκιᾶς τοῦ σώματος,Ὀναίμην οὖν σου τοσοῦτον ὁπόσον δὴ καὶ σκιὰ τοῦ σώματος,change,,Morphological,,ὁπόσα | σκιᾶς,ὁπόσον | σκιὰ,,no,
3,Βούλομαί σου θαυμάσαι τὸ ἀκριβὲς τῆς φρονήσεως ἢ τῷ ἐν σώματι εἶναί σε καὶ κόσμῳ καὶ τοῖς ἐν κόσμῳ συστρέφεσθαι ἀσωμάτως διάγειν καὶ ἀγγελικῶς πολιτεύεσθαι,Βούλομαί σου θαυμάσαι τὸ ἀκριβὲς τῆς φρονήσεως ἢ τὸ ἐν σώματι εἶναί σε καὶ κόσμῳ καὶ τοῖς ἐν κόσμῳ συστρέφεσθαι ἀσωμάτως διάγειν καὶ ἀγγελικῶς πολιτεύεσθαι,change,,Morphological,,τῷ,τὸ,,no,
4,Ἐγὼ μὲν καὶ πρώην --κρᾶς τοῦ χρόνου ὡς οἶσθα ἤδειν σου τὸ ὑποτρέχον τῆς ἀρετῆς καὶ τὸ ἐπιεικὲς τῆς ψυχῆς καὶ ἔτι μᾶλλον ἔγνων ἀκριβεστέρως καὶ ἃ πάλαι κατείληφα νῦν τεθαύμακα τὴν βραχεῖαν σου γραφὴν δεξάμενος.,Ἐγὼ μὲν καὶ πρώην ἐκ μακροῦ τοῦ χρόνου ὡς οἶσθα ἤδειν σου τὸ ὑποτρέχον τῆς ἀρετῆς καὶ τὸ ἐπιεικὲς τῆς ψυχῆς καὶ ἔτι μᾶλλον ἔγνων ἀκριβεστέρως καὶ ἃ πάλαι κατείληφα νῦν τεθαύμακα τὴν βραχεῖαν σου γραφὴν δεξάμενος.,change,add,Addition / Omission,Lexical / Contextual,"""--κρᾶς""",ἐκ | μακροῦ,,no,
5,Ἐγὼ μὲν ᾤμην θεοτίμητε δέσποτα μήποτέ σοι διαλυθῆναι τῆς σιωπῆς ἔγκλημα ἐπὶ τοσούτῳ ἤδη καιρῷ μήτε πείσαντι μήτε καταναγκάσαντι ἐκεῖνο μὲν ῥητορικῶς τοῦτο δὲ γεωμετρικῶς.,Ἐγὼ μὲν ᾤμην θεοτίμητε δέσποτα μήποτέ σοι διαλυθῆναι τὸ τῆς σιωπῆς ἔγκλημα ἐπὶ τοσούτῳ ἤδη καιρῷ μήτε πείσαντι μήτε καταναγκάσαντι ἐκεῖνο μὲν ῥητορικῶς τοῦτο δὲ γεωμετρικῶς.,add,,Addition / Omission,,,τὸ,,no,
6,Ὑποκείσθω γοῦν τῷ Μιθρικῷ νόμῳ καὶ ὁ θαυμάσιος οὗτος γραμματικός καὶ πρὶν ἢ τὸν Μίθραν ἰδεῖν καὶ ἱεροφάντης γενέσθαι τοῦ δαίμονος τὰ πρὸ τῶν ἀδύτων ὑπομεινάτω.,Ὑποκείσθω γοῦν τῷ Μιθριακῷ νόμῳ καὶ ὁ θαυμάσιος οὗτος γραμματικός καὶ πρὶν ἢ τὸν Μίθραν ἰδεῖν καὶ ἱεροφάντης γενέσθαι τοῦ δαίμονος τὰ πρὸ τῶν ἀδύτων ὑπομεινάτω.,change,,Morphological,,Μιθρικῷ,Μιθριακῷ,,no,
7,Εἰ μὲν κρείττους ἡγῇ τὰς σὰς ἐπιστολὰς τῶν ἐμῶν σοφώτατε ἄνθρωπε ὠνοῦ μίαν ἐμὴν πλειόνων τῶν σῶν εἰ δὲ χείρους ἴσως τῆς ἀπορρήτου φιλοσοφίας πυνθάνου ὅτι τὰ μὲν χείρονα ἐπιστρέφει πρὸς τὰ κρείττονα τὰ δὲ κρείττονα ἀνεπίστροφα τῶν χειρόνων εἰσί. Πῶς οὖν αὐτὸς καὶ κρείττων ἐμοῦ ὡς ὁ λόγος διεῖλε καὶ πρὸς τὸν χείρονα ἐπιστρέφειν αἱρῇ,Εἰ μὲν χείρους ἡγῇ τὰς σὰς ἐπιστολὰς τῶν ἐμῶν σοφώτατε ἄνθρωπε ὠνοῦ μίαν ἐμὴν πλειόνων τῶν σῶν εἰ δὲ κρείττους ἴσως τῆς ἀπορρήτου φιλοσοφίας πυνθάνου ὅτι τὰ μὲν χείρονα ἐπιστρέφει πρὸς τὰ κρείττονα τὰ δὲ κρείττονα ἀνεπίστροφα τῶν χειρόνων εἰσί. Πῶς οὖν αὐτὸς καὶ κρείττων ἐμοῦ ὡς ὁ λόγος διεῖλε καὶ πρὸς τὸν χείρονα ἐπιστρέφειν αἱρῇ,word order,,Word Order / Transposition,,κρείττους | χείρους,χείρους | κρείττους,,no,
8,εἰ δὲ δύναιο καὶ σχημάτισον ἕκαστον τῶν δυοῖν μεμάθηκα γὰρ καὶ σχήματα διανοίας ὥσπερ καὶ λέξεων.,εἰ δὲ δύναιο καὶ σχημάτισον ἕκαστον τῶν δυοῖν μεμάθηκας γὰρ καὶ σχήματα διανοίας ὥσπερ καὶ λέξεων,change,,Morphological,,μεμάθηκα | λέξεων.,μεμάθηκας | λέξεων,,no,
9,Ἴσως δὲ οὐδὲ ἀπείρηκας τὸ θέμα παντάπασιν ἀλλὰ σὺ ἀτέχνοις τοῦτο προσέβλεψας ὄμμασι καὶ ἀπὸ τῶν ἀκρωτηρίων τὰ σπλάγχνα διετεκμήρω οὐκ ἐντετύχηκας δέ πως ζῴῳ τὰς μὲν χεῖρας ἐξηρθρωμένῳ καὶ διηγκυλισμένῳ τοὺς πόδας καρδίας δὲ καὶ ἥπατος εὖ ἔχοντι,Ἴσως δὲ οὐδὲ ἀπείρηκε τὸ θέμα παντάπασιν ἀλλὰ σὺ ἀτέχνοις τοῦτο προσέβλεψας ὄμμασι καὶ ἀπὸ τῶν ἀκρωτηρίων τὰ σπλάγχνα διετεκμήρω οὐκ ἐντετύχηκας δέ πως ζῴῳ τὰς μὲν χεῖρας ἐξηρθρωμένῳ καὶ διηγκυλισμένῳ τοὺς πόδας καρδίας δὲ καὶ ἥπατος εὖ ἔχοντι,change,,Morphological,,ἀπείρηκας,ἀπείρηκε,,no,
10,ἐγὼ γὰρ μὴ πάνυ τοῦτο εἰδώς ὅτι μὴ πρὸς ἀντερίζοντα ὁ λόγος ἐμοί οὐ πάνυ μεγαλοπρεπῶς πρὸς τοὺς ὑπὲρ σοῦ ἐπαίνους ἐλήλυθα.,ἐγὼ γὰρ μὴ πάνυ τοῦτο εἰδώς ὅτι πρὸς ἀντερίζοντα ὁ λόγος ἐμοί οὐ πάνυ μεγαλοπρεπῶς πρὸς τοὺς ὑπὲρ σοῦ ἐπαίνους ἐλήλυθα.,delete,,Addition / Omission,,μὴ,,,no,
